,MSE,Model,Number,Performance,SE,Size
55,0.03737174521455517,PPFD_Avg+VPD+Sparse,32,0,0.0030121723967977917,3
56,0.03474810988259656,PPFD_Avg+VPD+Out_of_Basin,33,0,0.0042077050978914735,3
57,0.03580330202055067,PPFD_Avg+Temp+VWC,34,0,0.004742786373993025,3
58,0.03834007696091166,PPFD_Avg+Temp+Sedge,35,0,0.004379148497191851,3
59,0.03523355420314809,PPFD_Avg+Temp+Shrub,36,0,0.003657896494070209,3
60,0.03882895268098298,PPFD_Avg+Temp+Grass,37,0,0.004800464826469448,3
61,0.039878524165834366,PPFD_Avg+Temp+Sparse,38,0,0.003042804690056553,3
62,0.035409202584921105,PPFD_Avg+Temp+Out_of_Basin,39,0,0.0033195503872618585,3
63,0.032874672402387346,PPFD_Avg+VWC+Sedge,40,0,0.003755975955447253,3
64,0.0322970896292667,PPFD_Avg+VWC+Shrub,41,0,0.003880318317759217,3
65,0.03416794266774133,PPFD_Avg+VWC+Grass,42,0,0.00504519625213383,3
66,0.037002631841346244,PPFD_Avg+VWC+Sparse,43,0,0.0035251637600145777,3
67,0.031019784966872337,PPFD_Avg+VWC+Out_of_Basin,44,0,0.00406920475607666,3
68,0.039773882018756083,PPFD_Avg+Sedge+Shrub,45,0,0.004101557673437665,3
69,0.040119454120808265,PPFD_Avg+Sedge+Grass,46,0,0.003085154692659212,3
70,0.04027061283448742,PPFD_Avg+Sedge+Sparse,47,0,0.0034346785382774487,3
71,0.0370126042508903,PPFD_Avg+Sedge+Out_of_Basin,48,0,0.0037242354214437005,3
72,0.03941281898232051,PPFD_Avg+Shrub+Grass,49,0,0.0034872280077576363,3
73,0.039026760331959676,PPFD_Avg+Shrub+Sparse,50,0,0.004791867491367092,3
74,0.03827335854268572,PPFD_Avg+Shrub+Out_of_Basin,51,0,0.0032920236379728103,3
75,0.03761708508570149,PPFD_Avg+Grass+Out_of_Basin,52,0,0.004257684727242054,3
76,0.03891345898901577,PPFD_Avg+Sparse+Out_of_Basin,53,0,0.004605880150410936,3
77,0.02392593640367027,wind_speed+PPFD_Avg+AirTC_Avg+VWC,0,1,0.004981871153167228,4
78,0.023595759957453017,air_pressure+PPFD_Avg+AirTC_Avg+VWC,1,1,0.003681282333305717,4
79,0.02445987863626841,PPFD_Avg+AirTC_Avg+VPD+VWC,2,1,0.00464480775717138,4
80,0.022514892668502803,PPFD_Avg+AirTC_Avg+Temp+VWC,3,1,0.005341340152945204,4
81,0.02570972934459747,PPFD_Avg+AirTC_Avg+VWC+Sedge,4,1,0.003560024493558878,4
82,0.025165993562321205,PPFD_Avg+AirTC_Avg+VWC+Shrub,5,1,0.0036351262236543895,4
83,0.025818560814965853,PPFD_Avg+AirTC_Avg+VWC+Grass,6,1,0.004384495632725951,4
84,0.02466754600470914,PPFD_Avg+AirTC_Avg+VWC+Sparse,7,1,0.004304033395086628,4
85,0.02418797498506646,PPFD_Avg+AirTC_Avg+VWC+Out_of_Basin,8,1,0.0042093303902797675,4
86,0.02246265764736911,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg+VWC,0,1,0.005379242970773073,5
87,0.022453727225782587,wind_speed+PPFD_Avg+AirTC_Avg+VPD+VWC,1,1,0.005207272088302532,5
88,0.02219834696175793,wind_speed+PPFD_Avg+AirTC_Avg+Temp+VWC,2,1,0.0054497380277964205,5
89,0.02455346632570555,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Sedge,3,1,0.005189571909109285,5
90,0.024797656788396513,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Shrub,4,1,0.005533395664416501,5
91,0.02447632113663365,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Grass,5,1,0.005516739303696733,5
92,0.023688414222351063,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Sparse,6,1,0.005063466370983995,5
93,0.02319849179758285,wind_speed+PPFD_Avg+AirTC_Avg+VWC+Out_of_Basin,7,1,0.00492416852303465,5
94,0.021541765587817775,air_pressure+PPFD_Avg+AirTC_Avg+VPD+VWC,8,1,0.0047292229959028514,5
95,0.02032651263535225,air_pressure+PPFD_Avg+AirTC_Avg+Temp+VWC,9,1,0.004755900356173899,5
96,0.023358221262622346,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Sedge,10,1,0.005029071935266011,5
97,0.024655698724934994,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Shrub,11,1,0.004336622019642014,5
98,0.024646607743666994,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Grass,12,1,0.00530189551214513,5
99,0.02458044261758143,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Sparse,13,1,0.005199827538195128,5
100,0.02246706527823685,air_pressure+PPFD_Avg+AirTC_Avg+VWC+Out_of_Basin,14,1,0.004456512243937903,5
101,0.02100229330640551,PPFD_Avg+AirTC_Avg+VPD+Temp+VWC,15,1,0.00448082567109612,5
102,0.02374331821659465,PPFD_Avg+AirTC_Avg+VPD+VWC+Sedge,16,1,0.004413092862672207,5
103,0.022875925314482334,PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,17,1,0.004495021154606629,5
104,0.024171353912824992,PPFD_Avg+AirTC_Avg+VPD+VWC+Grass,18,1,0.00507181893312875,5
105,0.024000890012797114,PPFD_Avg+AirTC_Avg+VPD+VWC+Sparse,19,1,0.005401704200413258,5
106,0.02296047738285457,PPFD_Avg+AirTC_Avg+VPD+VWC+Out_of_Basin,20,1,0.003954796206848266,5
107,0.024032532851188056,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge,21,1,0.0049252880975737155,5
108,0.023074617582920794,PPFD_Avg+AirTC_Avg+Temp+VWC+Shrub,22,1,0.00516137945449039,5
109,0.023262863073258692,PPFD_Avg+AirTC_Avg+Temp+VWC+Grass,23,1,0.006225133230832918,5
110,0.021528241418277517,PPFD_Avg+AirTC_Avg+Temp+VWC+Sparse,24,1,0.00476207745991328,5
111,0.022682502231852437,PPFD_Avg+AirTC_Avg+Temp+VWC+Out_of_Basin,25,1,0.005209678738643065,5
112,0.026105875931907597,PPFD_Avg+AirTC_Avg+VWC+Sedge+Shrub,26,0,0.004567523066798355,5
113,0.026182158314662564,PPFD_Avg+AirTC_Avg+VWC+Sedge+Grass,27,0,0.005863469386724593,5
114,0.02614027593422891,PPFD_Avg+AirTC_Avg+VWC+Sedge+Sparse,28,0,0.004667538432665644,5
115,0.025184752246204478,PPFD_Avg+AirTC_Avg+VWC+Sedge+Out_of_Basin,29,0,0.003890986161771682,5
116,0.02541703195978391,PPFD_Avg+AirTC_Avg+VWC+Shrub+Grass,30,0,0.005410245963668038,5
117,0.02398219234370931,PPFD_Avg+AirTC_Avg+VWC+Shrub+Sparse,31,1,0.005059046363733509,5
118,0.02419008075281693,PPFD_Avg+AirTC_Avg+VWC+Shrub+Out_of_Basin,32,1,0.00504381263926314,5
119,0.025509558859781508,PPFD_Avg+AirTC_Avg+VWC+Grass+Sparse,33,0,0.005225815000662287,5
120,0.024423442493213102,PPFD_Avg+AirTC_Avg+VWC+Grass+Out_of_Basin,34,1,0.005308390693050437,5
121,0.024804866631862245,PPFD_Avg+AirTC_Avg+VWC+Sparse+Out_of_Basin,35,1,0.004423127307714965,5
